Year,SOURCE_DETAIL,SEX,URBANISATION,EDUCATION_LEV,COMPOSITE_BREAKDOWN,Value
2018,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,U,_L_KE_1,SKILL_MATH,75.7
2019,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,U,_L_KE_1,SKILL_MATH,83.1
2015,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",F,,_L_KE_1,SKILL_MATH,49.0
2017,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",F,,_L_KE_1,SKILL_MATH,72.5
2018,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",F,,_L_KE_1,SKILL_MATH,66.4
2019,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",F,,_L_KE_1,SKILL_MATH,75.9
2023,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",F,,_L_KE_1,SKILL_MATH,89.4
2015,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",M,,_L_KE_1,SKILL_MATH,45.2
2017,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",M,,_L_KE_1,SKILL_MATH,69.8
2018,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",M,,_L_KE_1,SKILL_MATH,67.7
2019,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",M,,_L_KE_1,SKILL_MATH,76.1
2023,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",M,,_L_KE_1,SKILL_MATH,87.6
2015,Basic Education Statistics Booklet,,,ISCED11A_1,SKILL_MATH,56.2
2016,Basic Education Statistics Booklet,,,ISCED11A_1,SKILL_MATH,45.4
2017,Basic Education Statistics Booklet,,,ISCED11A_1,SKILL_MATH,51.1
2018,Basic Education Statistics Booklet,,,ISCED11A_1,SKILL_MATH,43.1
2019,Basic Education Statistics Booklet,,,ISCED11A_1,SKILL_MATH,49.1
2020,Basic Education Statistics Booklet,,,ISCED11A_1,SKILL_MATH,54.9
2021,Basic Education Statistics Booklet,,,ISCED11A_1,SKILL_MATH,49.6
2022,Basic Education Statistics Booklet,,,ISCED11A_1,SKILL_MATH,47.5
2023,Basic Education Statistics Booklet,,,ISCED11A_1,SKILL_MATH,36.9
2017,Basic Education Statistics Booklet,F,,ISCED11A_1,SKILL_MATH,49.6
2018,Basic Education Statistics Booklet,F,,ISCED11A_1,SKILL_MATH,42.1
2019,Basic Education Statistics Booklet,F,,ISCED11A_1,SKILL_MATH,47.7
2020,Basic Education Statistics Booklet,F,,ISCED11A_1,SKILL_MATH,52.2
2023,Basic Education Statistics Booklet,F,,ISCED11A_1,SKILL_MATH,37.9
2017,Basic Education Statistics Booklet,M,,ISCED11A_1,SKILL_MATH,52.7
2018,Basic Education Statistics Booklet,M,,ISCED11A_1,SKILL_MATH,44.1
2019,Basic Education Statistics Booklet,M,,ISCED11A_1,SKILL_MATH,50.8
2020,Basic Education Statistics Booklet,M,,ISCED11A_1,SKILL_MATH,57.6
2023,Basic Education Statistics Booklet,M,,ISCED11A_1,SKILL_MATH,36.0
2018,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,,,ISCED11_2,SKILL_MATH,6.2
2018,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,F,,ISCED11_2,SKILL_MATH,4.3
2018,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,M,,ISCED11_2,SKILL_MATH,8.0
