Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,45 to 49 years old,,Percent,,13.6
2014,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,,9.8
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,,7.1
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Rural,Percent,,8.0
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Urban,Percent,,5.7
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 to 19 years old,,Percent,,6.1
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,20 to 24 years old,,Percent,,6.3
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,25 to 29 years old,,Percent,,7.5
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,30 to 34 years old,,Percent,,7.7
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,35 to 39 years old,,Percent,,7.7
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,40 to 44 years old,,Percent,,6.7
2022,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,45 to 49 years old,,Percent,,6.7
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,,23.8
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,,22.1
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Rural,Percent,,23.4
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Rural,Percent,,24.3
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Urban,Percent,,24.6
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Urban,Percent,,19.0
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 to 19 years old,,Percent,,16.0
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 to 19 years old,,Percent,,13.0
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,20 to 24 years old,,Percent,,22.5
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,20 to 24 years old,,Percent,,19.6
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,25 to 29 years old,,Percent,,24.8
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,25 to 29 years old,,Percent,,23.8
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,30 to 34 years old,,Percent,,24.1
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,30 to 34 years old,,Percent,,25.0
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,35 to 39 years old,,Percent,,26.1
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,35 to 39 years old,,Percent,,25.0
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,40 to 44 years old,,Percent,,23.2
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,40 to 44 years old,,Percent,,22.5
2014,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,45 to 49 years old,,Percent,,22.6
2022,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,45 to 49 years old,,Percent,,22.5
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,,25.4
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,,18.8
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Rural,Percent,,25.9
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Rural,Percent,,20.8
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Urban,Percent,,25.0
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Urban,Percent,,16.0
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 to 19 years old,,Percent,,18.9
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 to 19 years old,,Percent,,13.8
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,20 to 24 years old,,Percent,,27.0
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,20 to 24 years old,,Percent,,18.6
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,25 to 29 years old,,Percent,,28.5
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,25 to 29 years old,,Percent,,20.8
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,30 to 34 years old,,Percent,,24.9
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,30 to 34 years old,,Percent,,20.6
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,35 to 39 years old,,Percent,,25.4
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,35 to 39 years old,,Percent,,20.6
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,40 to 44 years old,,Percent,,21.3
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,40 to 44 years old,,Percent,,16.6
2014,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,45 to 49 years old,,Percent,,22.6
2022,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,45 to 49 years old,,Percent,,16.6
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,,Percent,,32.7
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,,Percent,,28.1
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,Rural,Percent,,32.3
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,Rural,Percent,,24.1
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,Urban,Percent,,33.7
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,Urban,Percent,,30.9
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,15 to 19 years old,,Percent,,25.3
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,15 to 19 years old,,Percent,,21.3
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,20 to 24 years old,,Percent,,32.3
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,20 to 24 years old,,Percent,,26.7
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,25 to 29 years old,,Percent,,34.7
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,25 to 29 years old,,Percent,,30.5
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,30 to 34 years old,,Percent,,34.3
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,30 to 34 years old,,Percent,,30.3
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,35 to 39 years old,,Percent,,34.4
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,35 to 39 years old,,Percent,,30.3
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,40 to 44 years old,,Percent,,28.2
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,40 to 44 years old,,Percent,,26.7
2014,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,45 to 49 years old,,Percent,,30.4
2022,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,45 to 49 years old,,Percent,,26.7
