Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2022,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,57.6
2023,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,62.7
2024,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,62.0
2014,DT_DOD_DECT_GN_ZS,,PT,A,0,,10.3
2015,DT_DOD_DECT_GN_ZS,,PT,A,0,,46.2
2016,DT_DOD_DECT_GN_ZS,,PT,A,0,,53.4
2017,DT_DOD_DECT_GN_ZS,,PT,A,0,,60.3
2018,DT_DOD_DECT_GN_ZS,,PT,A,0,,62.7
2019,DT_DOD_DECT_GN_ZS,,PT,A,0,,64.1
2020,DT_DOD_DECT_GN_ZS,,PT,A,0,,71.0
2021,DT_DOD_DECT_GN_ZS,,PT,A,0,,70.6
2022,DT_DOD_DECT_GN_ZS,,PT,A,0,,70.5
2023,DT_DOD_DECT_GN_ZS,,PT,A,0,,80.6
2024,DT_DOD_DECT_GN_ZS,,PT,A,0,,66.2
2015,FB_BNK_CAPA_ZS,,PT,A,0,,15.2
2016,FB_BNK_CAPA_ZS,,PT,A,0,,16.3
2017,FB_BNK_CAPA_ZS,,PT,A,0,,14.1
2018,FB_BNK_CAPA_ZS,,PT,A,0,,14.7
2019,FB_BNK_CAPA_ZS,,PT,A,0,,14.8
2020,FB_BNK_CAPA_ZS,,PT,A,0,,15.4
2021,FB_BNK_CAPA_ZS,,PT,A,0,,16.6
2022,FB_BNK_CAPA_ZS,,PT,A,0,,16.1
2023,FB_BNK_CAPA_ZS,,PT,A,0,,21.9
2024,FB_BNK_CAPA_ZS,,PT,A,0,,19.6
2015,FM_LBL_BMNY_IR_ZS,,PT,A,0,,3.5
2016,FM_LBL_BMNY_IR_ZS,,PT,A,0,,3.7
2017,FM_LBL_BMNY_IR_ZS,,PT,A,0,,4.0
2018,FM_LBL_BMNY_IR_ZS,,PT,A,0,,3.9
2019,FM_LBL_BMNY_IR_ZS,,PT,A,0,,3.8
2020,FM_LBL_BMNY_IR_ZS,,PT,A,0,,4.1
2021,FM_LBL_BMNY_IR_ZS,,PT,A,0,,4.0
2022,FM_LBL_BMNY_IR_ZS,,PT,A,0,,4.0
2023,FM_LBL_BMNY_IR_ZS,,PT,A,0,,4.2
2024,FM_LBL_BMNY_IR_ZS,,PT,A,0,,3.8
2014,FM_LBL_BMNY_ZG,,PT,A,0,,16.1
2015,FM_LBL_BMNY_ZG,,PT,A,0,,14.1
2016,FM_LBL_BMNY_ZG,,PT,A,0,,4.0
2017,FM_LBL_BMNY_ZG,,PT,A,0,,9.6
2018,FM_LBL_BMNY_ZG,,PT,A,0,,10.1
2019,FM_LBL_BMNY_ZG,,PT,A,0,,5.6
2020,FM_LBL_BMNY_ZG,,PT,A,0,,13.2
2021,FM_LBL_BMNY_ZG,,PT,A,0,,6.1
2022,FM_LBL_BMNY_ZG,,PT,A,0,,7.5
2023,FM_LBL_BMNY_ZG,,PT,A,0,,19.9
2024,FM_LBL_BMNY_ZG,,PT,A,0,,1.0
2014,FP_CPI_TOTL_ZG,,IX,A,0,,149.7
2015,FP_CPI_TOTL_ZG,,IX,A,0,,159.6
2016,FP_CPI_TOTL_ZG,,IX,A,0,,86.7
2017,FP_CPI_TOTL_ZG,,IX,A,0,,93.6
2018,FP_CPI_TOTL_ZG,,IX,A,0,,98.0
2019,FP_CPI_TOTL_ZG,,IX,A,0,,103.2
2020,FP_CPI_TOTL_ZG,,IX,A,0,,108.7
2021,FP_CPI_TOTL_ZG,,IX,A,0,,115.3
2022,FP_CPI_TOTL_ZG,,IX,A,0,,124.2
2023,FP_CPI_TOTL_ZG,,IX,A,0,,133.7
2024,FP_CPI_TOTL_ZG,,IX,A,0,,139.7
2014,GC_TAX_TOTL_GD_ZS,,PT,A,0,,15.2
2015,GC_TAX_TOTL_GD_ZS,,PT,A,0,,14.8
2016,GC_TAX_TOTL_GD_ZS,,PT,A,0,,15.6
2017,GC_TAX_TOTL_GD_ZS,,PT,A,0,,15.9
2018,GC_TAX_TOTL_GD_ZS,,PT,A,0,,15.1
2019,GC_TAX_TOTL_GD_ZS,,PT,A,0,,16.5
2020,GC_TAX_TOTL_GD_ZS,,PT,A,0,,15.0
2021,GC_TAX_TOTL_GD_ZS,,PT,A,0,,15.2
2022,GC_TAX_TOTL_GD_ZS,,PT,A,0,,14.4
2023,GC_TAX_TOTL_GD_ZS,,PT,A,0,,14.6
2024,GC_TAX_TOTL_GD_ZS,,PT,A,0,,15.6
2014,NE_CON_GOVT_KD_ZG,,PT,A,0,,3.8
2015,NE_CON_GOVT_KD_ZG,,PT,A,0,,13.6
2016,NE_CON_GOVT_KD_ZG,,PT,A,0,,5.3
2017,NE_CON_GOVT_KD_ZG,,PT,A,0,,6.2
2018,NE_CON_GOVT_KD_ZG,,PT,A,0,,7.0
2019,NE_CON_GOVT_KD_ZG,,PT,A,0,,5.6
2020,NE_CON_GOVT_KD_ZG,,PT,A,0,,3.1
2021,NE_CON_GOVT_KD_ZG,,PT,A,0,,6.0
2022,NE_CON_GOVT_KD_ZG,,PT,A,0,,8.1
2023,NE_CON_GOVT_KD_ZG,,PT,A,0,,2.0
2024,NE_CON_GOVT_KD_ZG,,PT,A,0,,0.4
2014,NE_CON_PRVT_KD_ZG,,PT,A,0,,4.3
2015,NE_CON_PRVT_KD_ZG,,PT,A,0,,6.1
2016,NE_CON_PRVT_KD_ZG,,PT,A,0,,4.5
2017,NE_CON_PRVT_KD_ZG,,PT,A,0,,4.9
2018,NE_CON_PRVT_KD_ZG,,PT,A,0,,4.7
2019,NE_CON_PRVT_KD_ZG,,PT,A,0,,5.0
2020,NE_CON_PRVT_KD_ZG,,PT,A,0,,-1.8
2021,NE_CON_PRVT_KD_ZG,,PT,A,0,,6.1
2022,NE_CON_PRVT_KD_ZG,,PT,A,0,,2.3
2023,NE_CON_PRVT_KD_ZG,,PT,A,0,,7.5
2024,NE_CON_PRVT_KD_ZG,,PT,A,0,,6.9
2014,NE_EXP_GNFS_KD_ZG,,PT,A,0,,1.9
2015,NE_EXP_GNFS_KD_ZG,,PT,A,0,,-2.2
2016,NE_EXP_GNFS_KD_ZG,,PT,A,0,,-6.6
2017,NE_EXP_GNFS_KD_ZG,,PT,A,0,,-1.0
2018,NE_EXP_GNFS_KD_ZG,,PT,A,0,,6.8
2019,NE_EXP_GNFS_KD_ZG,,PT,A,0,,-3.2
2020,NE_EXP_GNFS_KD_ZG,,PT,A,0,,9.5
2021,NE_EXP_GNFS_KD_ZG,,PT,A,0,,16.6
2022,NE_EXP_GNFS_KD_ZG,,PT,A,0,,20.8
2023,NE_EXP_GNFS_KD_ZG,,PT,A,0,,11.7
2024,NE_EXP_GNFS_KD_ZG,,PT,A,0,,7.5
2014,NE_GDI_TOTL_KD_ZG,,PT,A,0,,19.9
2015,NE_GDI_TOTL_KD_ZG,,PT,A,0,,0.1
2016,NE_GDI_TOTL_KD_ZG,,PT,A,0,,-3.9
2017,NE_GDI_TOTL_KD_ZG,,PT,A,0,,12.0
2018,NE_GDI_TOTL_KD_ZG,,PT,A,0,,-2.3
2019,NE_GDI_TOTL_KD_ZG,,PT,A,0,,5.3
2020,NE_GDI_TOTL_KD_ZG,,PT,A,0,,2.2
2021,NE_GDI_TOTL_KD_ZG,,PT,A,0,,13.4
2022,NE_GDI_TOTL_KD_ZG,,PT,A,0,,-2.6
2023,NE_GDI_TOTL_KD_ZG,,PT,A,0,,-5.5
2024,NE_GDI_TOTL_KD_ZG,,PT,A,0,,7.3
2014,NE_IMP_GNFS_KD_ZG,,PT,A,0,,11.3
2015,NE_IMP_GNFS_KD_ZG,,PT,A,0,,-4.6
2016,NE_IMP_GNFS_KD_ZG,,PT,A,0,,-7.4
2017,NE_IMP_GNFS_KD_ZG,,PT,A,0,,12.4
2018,NE_IMP_GNFS_KD_ZG,,PT,A,0,,1.4
2019,NE_IMP_GNFS_KD_ZG,,PT,A,0,,1.8
2020,NE_IMP_GNFS_KD_ZG,,PT,A,0,,-2.2
2021,NE_IMP_GNFS_KD_ZG,,PT,A,0,,23.1
2022,NE_IMP_GNFS_KD_ZG,,PT,A,0,,10.9
2023,NE_IMP_GNFS_KD_ZG,,PT,A,0,,1.3
2024,NE_IMP_GNFS_KD_ZG,,PT,A,0,,2.7
2014,NY_GDP_MKTP_KD_ZG,,PT,A,0,,5.4
2015,NY_GDP_MKTP_KD_ZG,,PT,A,0,,5.7
2016,NY_GDP_MKTP_KD_ZG,,PT,A,0,,4.2
2017,NY_GDP_MKTP_KD_ZG,,PT,A,0,,3.8
2018,NY_GDP_MKTP_KD_ZG,,PT,A,0,,5.6
2019,NY_GDP_MKTP_KD_ZG,,PT,A,0,,5.1
2020,NY_GDP_MKTP_KD_ZG,,PT,A,0,,-0.3
2021,NY_GDP_MKTP_KD_ZG,,PT,A,0,,7.6
2022,NY_GDP_MKTP_KD_ZG,,PT,A,0,,4.9
2023,NY_GDP_MKTP_KD_ZG,,PT,A,0,,5.6
2024,NY_GDP_MKTP_KD_ZG,,PT,A,0,,4.7
