Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2016,SL_TLF_UEM,,,Y15T19,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,14.9
2019,SL_TLF_UEM,,,Y15T19,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.0
2020,SL_TLF_UEM,,,Y15T19,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.5
2021,SL_TLF_UEM,,,Y15T19,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.8
2022,SL_TLF_UEM,,,Y15T19,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,6.8
2014,SL_TLF_UEM,,,Y20T24,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,15.1
2016,SL_TLF_UEM,,,Y20T24,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,19.2
2019,SL_TLF_UEM,,,Y20T24,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,16.0
2020,SL_TLF_UEM,,,Y20T24,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,17.7
2021,SL_TLF_UEM,,,Y20T24,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,11.8
2022,SL_TLF_UEM,,,Y20T24,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,14.9
2014,SL_TLF_UEM,,,Y25T29,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.9
2016,SL_TLF_UEM,,,Y25T29,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.0
2019,SL_TLF_UEM,,,Y25T29,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.9
2020,SL_TLF_UEM,,,Y25T29,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,10.2
2021,SL_TLF_UEM,,,Y25T29,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.2
2022,SL_TLF_UEM,,,Y25T29,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,10.2
2014,SL_TLF_UEM,,,Y30T34,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.2
2016,SL_TLF_UEM,,,Y30T34,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.6
2019,SL_TLF_UEM,,,Y30T34,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.9
2020,SL_TLF_UEM,,,Y30T34,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,6.4
2021,SL_TLF_UEM,,,Y30T34,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,6.0
2022,SL_TLF_UEM,,,Y30T34,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.5
2014,SL_TLF_UEM,,,Y35T39,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,6.1
2016,SL_TLF_UEM,,,Y35T39,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.7
2019,SL_TLF_UEM,,,Y35T39,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.0
2020,SL_TLF_UEM,,,Y35T39,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.2
2021,SL_TLF_UEM,,,Y35T39,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.6
2022,SL_TLF_UEM,,,Y35T39,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.8
2014,SL_TLF_UEM,,,Y40T44,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.8
2016,SL_TLF_UEM,,,Y40T44,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.7
2019,SL_TLF_UEM,,,Y40T44,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.3
2020,SL_TLF_UEM,,,Y40T44,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.9
2021,SL_TLF_UEM,,,Y40T44,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.0
2022,SL_TLF_UEM,,,Y40T44,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.8
2014,SL_TLF_UEM,,,Y45T49,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.2
2016,SL_TLF_UEM,,,Y45T49,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.8
2019,SL_TLF_UEM,,,Y45T49,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.2
2020,SL_TLF_UEM,,,Y45T49,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.2
2021,SL_TLF_UEM,,,Y45T49,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.3
2022,SL_TLF_UEM,,,Y45T49,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.1
2014,SL_TLF_UEM,,,Y50T54,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.8
2016,SL_TLF_UEM,,,Y50T54,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.6
2019,SL_TLF_UEM,,,Y50T54,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.0
2020,SL_TLF_UEM,,,Y50T54,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.8
2021,SL_TLF_UEM,,,Y50T54,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.0
2022,SL_TLF_UEM,,,Y50T54,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.1
2014,SL_TLF_UEM,,,Y55T59,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.8
2016,SL_TLF_UEM,,,Y55T59,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.9
2019,SL_TLF_UEM,,,Y55T59,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.8
2020,SL_TLF_UEM,,,Y55T59,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.5
2021,SL_TLF_UEM,,,Y55T59,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.5
2022,SL_TLF_UEM,,,Y55T59,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.9
2014,SL_TLF_UEM,,,Y60T64,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.0
2016,SL_TLF_UEM,,,Y60T64,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.6
2019,SL_TLF_UEM,,,Y60T64,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.3
2020,SL_TLF_UEM,,,Y60T64,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.7
2021,SL_TLF_UEM,,,Y60T64,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.0
2022,SL_TLF_UEM,,,Y60T64,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.7
2014,SL_TLF_UEM,,F,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.4
2016,SL_TLF_UEM,,F,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.6
2019,SL_TLF_UEM,,F,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.5
2020,SL_TLF_UEM,,F,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.2
2021,SL_TLF_UEM,,F,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,6.9
2022,SL_TLF_UEM,,F,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.2
2014,SL_TLF_UEM,,M,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.9
2016,SL_TLF_UEM,,M,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.3
2019,SL_TLF_UEM,,M,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.6
2020,SL_TLF_UEM,,M,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.5
2021,SL_TLF_UEM,,M,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.6
2022,SL_TLF_UEM,,M,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.5
