Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,GeoCode,Value
2015,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,-0.6
2016,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,-0.5
2017,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,-1.5
2018,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,-0.8
2019,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,-0.4
2020,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,-0.6
2021,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,-0.1
2022,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,0.7
2023,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,0.7
2014,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,36.9
2015,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,37.8
2016,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,42.2
2017,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,47.3
2018,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,49.1
2019,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,51.9
2020,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,58.4
2021,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,59.4
2022,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,59.8
2023,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,2023,Economic Survey,GDP at Current Market price,,63.7
2014,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,10.3
2015,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,26.2
2016,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,25.5
2017,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,28.6
2018,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,29.9
2019,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,31.1
2020,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,36.3
2021,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,35.6
2022,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,70.8
2023,DT_DOD_DECT_GN_ZS,,PT,A,0,2023,"Treasury, Economic Survey",Include private external debt,,81.1
2015,FB_BNK_CAPA_ZS,,PT,A,0,2023,Economic Survey,,,15.2
2016,FB_BNK_CAPA_ZS,,PT,A,0,2023,Economic Survey,,,16.3
2017,FB_BNK_CAPA_ZS,,PT,A,0,2023,Economic Survey,,,14.1
2018,FB_BNK_CAPA_ZS,,PT,A,0,2023,Economic Survey,,,14.7
2019,FB_BNK_CAPA_ZS,,PT,A,0,2023,Economic Survey,,,14.8
2020,FB_BNK_CAPA_ZS,,PT,A,0,2023,Economic Survey,,,15.4
2021,FB_BNK_CAPA_ZS,,PT,A,0,2023,Economic Survey,,,16.6
2022,FB_BNK_CAPA_ZS,,PT,A,0,2023,Economic Survey,,,16.1
2023,FB_BNK_CAPA_ZS,,PT,A,0,2023,Economic Survey,,,21.9
2015,FM_LBL_BMNY_IR_ZS,,PT,A,0,2021,Economic Survey,,,3.5
2016,FM_LBL_BMNY_IR_ZS,,PT,A,0,2021,Economic Survey,,,3.7
2017,FM_LBL_BMNY_IR_ZS,,PT,A,0,2021,Economic Survey,,,4.0
2018,FM_LBL_BMNY_IR_ZS,,PT,A,0,2021,Economic Survey,,,3.9
2019,FM_LBL_BMNY_IR_ZS,,PT,A,0,2021,Economic Survey,,,3.8
2020,FM_LBL_BMNY_IR_ZS,,PT,A,0,2021,Economic Survey,,,4.1
2021,FM_LBL_BMNY_IR_ZS,,PT,A,0,2021,Economic Survey,,,4.0
2014,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,16.1
2015,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,14.1
2016,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,4.0
2017,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,9.6
2018,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,10.1
2019,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,5.6
2020,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,13.2
2021,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,6.1
2022,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,7.5
2023,FM_LBL_BMNY_ZG,,PT,A,0,2023,Economic Survey,,,19.9
