Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2019,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,926650.0
2020,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,928784.0
2021,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,993304.0
2022,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,1263157.0
2023,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,1429139.0
2014,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,279.4
2015,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,263.0
2016,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,249.5
2017,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,290.8
2018,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,358.7
2019,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,374.7
2020,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,321.6
2021,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,375.8
2022,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,375.0
2023,_L_KE_090102_02,,MOT_AIR,T,A,3,2023,,380.0
2014,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,24875.0
2015,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,26732.0
2016,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,27384.0
2017,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,30245.0
2018,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,30934.0
2019,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,34458.0
2020,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,34162.0
2021,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,34605.2
2022,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,33939.0
2023,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,2023,,36143.0
2014,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,1509.0
2015,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,1542.0
2016,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,1380.0
2017,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,1147.0
2018,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,3544.0
2019,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,4826.0
2020,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,5063.0
2021,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,6051.0
2022,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,6877.0
2023,_L_KE_090102_02,,MOT_RAI,T,A,3,2023,,7534.0
2014,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,282695.0
2015,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,306884.0
2016,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,331370.0
2017,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,467128.0
2018,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,542029.0
2019,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,605340.0
2020,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,608618.0
2021,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,896624.0
2022,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,963064.0
2023,_L_KE_090102_02,,MOT_ROA,KES,A,6,2023,,1134320.0
