Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y35T39,,PT,2022,,3.0
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y35T39,,PT,2022,,4.2
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y35T39,,PT,2022,,3.6
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y35T39,,PT,2022,,2.8
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y40T44,,PT,2022,,5.8
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y40T44,,PT,2022,,2.7
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y40T44,,PT,2022,,3.3
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y40T44,,PT,2022,,4.9
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y40T44,,PT,2022,,3.0
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y40T44,,PT,2022,,2.8
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y45T49,,PT,2022,,5.2
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y45T49,,PT,2022,,1.8
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y45T49,,PT,2022,,0.2
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y45T49,,PT,2022,,5.2
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y45T49,,PT,2022,,1.3
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y45T49,,PT,2022,,2.1
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y50T54,,PT,2022,,5.8
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y50T54,,PT,2022,,1.6
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y50T54,,PT,2022,,1.0
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y50T54,,PT,2022,,3.8
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y50T54,,PT,2022,,1.0
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y50T54,,PT,2022,,2.1
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y55T59,,PT,2022,,5.8
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y55T59,,PT,2022,,1.9
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y55T59,,PT,2022,,0.8
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y55T59,,PT,2022,,2.5
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y55T59,,PT,2022,,1.5
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y55T59,,PT,2022,,0.9
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y60T64,,PT,2022,,7.0
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y60T64,,PT,2022,,1.6
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y60T64,,PT,2022,,0.3
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y60T64,,PT,2022,,0.7
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y60T64,,PT,2022,,0.0
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y60T64,,PT,2022,,1.7
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,F,,,PT,2022,,9.4
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,F,,,PT,2022,,9.6
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,F,,,PT,2022,,4.5
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,F,,,PT,2022,,7.2
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,F,,,PT,2022,,6.9
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,F,,,PT,2022,,7.2
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,M,,,PT,2022,,9.9
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,M,,,PT,2022,,5.3
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,M,,,PT,2022,,4.6
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,M,,,PT,2022,,5.5
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,M,,,PT,2022,,3.6
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,M,,,PT,2022,,4.5
