Indicator,Disaggregations,Number of disaggregations
#6-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, COMPOSITE_BREAKDOWN",4
#6-3-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-4-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-4-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-5-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-6-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#7-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION",4
#7-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION",4
#7-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#7-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#7-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#7-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-10-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-10-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#8-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-5-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#8-6-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#8-7-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#8-8-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-9-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, COMPOSITE_BREAKDOWN",4
#9-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-2-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-3-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-5-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-c-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
