Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,2022,,3.0
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,2022,,2.8
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,2022,,5.2
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,2022,,1.8
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,2022,,0.2
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,2022,,5.2
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,2022,,1.3
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,2022,,2.1
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,2022,,5.8
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,2022,,1.6
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,2022,,1.0
