Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,GeoCode,Value
2017,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Urban,Grade 2/3,Skill: Mathematics,Percent,2019,,82.5
2018,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Urban,Grade 2/3,Skill: Mathematics,Percent,2019,,75.7
2019,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Urban,Grade 2/3,Skill: Mathematics,Percent,2019,,83.1
2015,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,2023,,49.0
2017,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,2023,,72.5
2018,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,2023,,66.4
2019,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,2023,,75.9
2023,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,2023,,89.4
2015,Normal value,Units,2015: Uwezo Kenya Sixth Learning Assessment Report,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Reading,Percent,2023,,43.4
2018,Normal value,Units,2015: Uwezo Kenya Sixth Learning Assessment Report,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Reading,Percent,2023,,58.5
