Year,Unit multiplier,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Observation-level footnotes,Value
2014,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,282695.0
2015,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,306884.0
2016,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,331370.0
2017,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,467128.0
2018,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,542029.0
2019,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,605340.0
2020,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,608618.0
2021,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,896624.0
2022,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,963064.0
2023,Millions,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,1134320.0
