Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2023,Bank capital to assets ratio (%) [17.13.1],,Percent,,21.9
2024,Bank capital to assets ratio (%) [17.13.1],,Percent,,19.6
2014,Annual GDP growth (%) [17.13.1],,Percent,,5.4
2015,Annual GDP growth (%) [17.13.1],,Percent,,5.7
2016,Annual GDP growth (%) [17.13.1],,Percent,,4.2
2017,Annual GDP growth (%) [17.13.1],,Percent,,3.8
2018,Annual GDP growth (%) [17.13.1],,Percent,,5.6
2019,Annual GDP growth (%) [17.13.1],,Percent,,5.1
2020,Annual GDP growth (%) [17.13.1],,Percent,,-0.3
2021,Annual GDP growth (%) [17.13.1],,Percent,,7.6
2022,Annual GDP growth (%) [17.13.1],,Percent,,4.9
2023,Annual GDP growth (%) [17.13.1],,Percent,,5.6
2024,Annual GDP growth (%) [17.13.1],,Percent,,4.7
2014,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,15.2
2015,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,14.8
2016,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,15.6
2017,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,15.9
2018,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,15.1
2019,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,16.5
2020,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,15.0
2021,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,15.2
2022,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,14.4
2023,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,14.6
2024,Tax revenue as a proportion of GDP (%) [17.13.1],,Percent,,15.6
2014,Overall Fiscal Balance (% of GDP):,,Percent,,-5.1
2015,Overall Fiscal Balance (% of GDP):,,Percent,,-7.8
2016,Overall Fiscal Balance (% of GDP):,,Percent,,-6.4
2017,Overall Fiscal Balance (% of GDP):,,Percent,,-6.8
2018,Overall Fiscal Balance (% of GDP):,,Percent,,-7.1
2019,Overall Fiscal Balance (% of GDP):,,Percent,,-7.1
2020,Overall Fiscal Balance (% of GDP):,,Percent,,-7.6
2021,Overall Fiscal Balance (% of GDP):,,Percent,,-8.4
2022,Overall Fiscal Balance (% of GDP):,,Percent,,-6.3
2023,Overall Fiscal Balance (% of GDP):,,Percent,,-5.6
2024,Overall Fiscal Balance (% of GDP):,,Percent,,-5.3
2014,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,36.9
2015,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,37.8
2016,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,42.2
2017,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,47.3
2018,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,49.1
2019,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",,Percent,,51.9
