Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.0
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.7
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.4
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.6
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.5
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.2
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,6.9
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Female,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.2
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.9
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.3
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.6
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.5
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.6
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,Male,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.5
