Year,SERIES,Reference area,Sex,Degree of urbanisation,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,49.1
2020,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,54.9
2021,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,49.6
2022,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,47.5
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,36.9
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,49.6
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,42.1
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,47.7
2020,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,52.2
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,37.9
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,52.7
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,44.1
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,50.8
2020,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,57.6
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,36.0
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Lower secondary education,Skill: Mathematics,Percent,,6.2
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Lower secondary education,Skill: Mathematics,Percent,,4.3
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Lower secondary education,Skill: Mathematics,Percent,,8.0
