Year,Observation status,Unit multiplier,COMMENT_OBS,SOURCE_DETAIL,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2016,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,6-13 years,,Percent,2022,,44.0
2019,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,6-13 years,,Percent,2022,,40.6
2020,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,6-13 years,,Percent,2022,,48.6
2021,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,6-13 years,,Percent,2022,,42.3
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,6-13 years,,Percent,2022,,44.4
2016,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Female,,,Percent,2022,,36.1
2019,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Female,,,Percent,2022,,34.1
2020,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Female,,,Percent,2022,,42.2
2021,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Female,,,Percent,2022,,38.0
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Female,,,Percent,2022,,39.3
2016,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Male,,,Percent,2022,,36.2
2019,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Male,,,Percent,2022,,34.0
2020,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Male,,,Percent,2022,,42.9
2021,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Male,,,Percent,2022,,38.3
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,Male,,,Percent,2022,,40.3
