Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",Normal value,Units,2024,,10.3637
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",Normal value,Units,2024,,10.985157
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",Normal value,Units,2024,,9.58398
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",Normal value,Units,2024,,11.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",Normal value,Units,2024,,7.71714
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",Normal value,Units,2024,,10.755018
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",Normal value,Units,2024,,10.167668
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",Normal value,Units,2024,,8.681089
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",Normal value,Units,2024,,9.89239
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",Normal value,Units,2024,,9.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",Normal value,Units,2024,,4.792894
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",Normal value,Units,2024,,4.405851
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",Normal value,Units,2024,,3.595199
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",Normal value,Units,2024,,3.444525
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",Normal value,Units,2024,,3.372303
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",Normal value,Units,2024,,3.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",Normal value,Units,2024,,7.733122
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",Normal value,Units,2024,,8.371228
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",Normal value,Units,2024,,9.655695
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",Normal value,Units,2024,,8.679838
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",Normal value,Units,2024,,8.458162
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",Normal value,Units,2024,,8.0
